Rectangle 0: x=997, y=835, w=73, h=120
Rectangle 0: x=997, y=834, w=74, h=122
Rectangle 1: x=1078, y=890, w=51, h=31
Rectangle 2: x=1081, y=923, w=66, h=26
Rectangle 3: x=1128, y=907, w=13, h=14
Rectangle 4: x=1087, y=948, w=55, h=18
Rectangle 5: x=879, y=907, w=74, h=48
Rectangle 6: x=888, y=956, w=63, h=12
Rectangle 7: x=940, y=872, w=52, h=39
Rectangle 8: x=941, y=854, w=54, h=18
Rectangle 9: x=948, y=843, w=34, h=11
Rectangle 10: x=958, y=835, w=14, h=5
Rectangle 11: x=892, y=894, w=46, h=11
Rectangle 12: x=899, y=881, w=23, h=12
Rectangle 13: x=812, y=890, w=66, h=34
Rectangle 14: x=819, y=926, w=49, h=17
Rectangle 15: x=825, y=879, w=33, h=12
Rectangle 16: x=829, y=822, w=109, h=24
Rectangle 17: x=841, y=803, w=102, h=18
Rectangle 18: x=848, y=787, w=82, h=15
Rectangle 19: x=838, y=844, w=66, h=22
Rectangle 20: x=929, y=759, w=73, h=37
Rectangle 21: x=940, y=742, w=62, h=14
Rectangle 22: x=949, y=728, w=46, h=13
Rectangle 23: x=1011, y=759, w=60, h=57
Rectangle 24: x=1018, y=747, w=47, h=9
Rectangle 25: x=1024, y=736, w=37, h=10
Rectangle 26: x=1033, y=725, w=16, h=8
Rectangle 27: x=1087, y=805, w=72, h=48
Rectangle 28: x=1092, y=792, w=61, h=10
Rectangle 29: x=1099, y=780, w=46, h=10
Rectangle 30: x=1105, y=772, w=40, h=8
Rectangle 31: x=1111, y=764, w=34, h=10
Rectangle 32: x=1148, y=881, w=44, h=36
Rectangle 33: x=1192, y=877, w=14, h=35
Rectangle 34: x=1157, y=865, w=48, h=15
Rectangle 35: x=1162, y=853, w=38, h=12
Rectangle 36: x=1175, y=841, w=23, h=12
Rectangle 37: x=1182, y=833, w=16, h=8
Rectangle 38: x=1091, y=877, w=21, h=11
Rectangle 0: x=864, y=718, w=40, h=27
Rectangle 1: x=874, y=750, w=15, h=8
Rectangle 2: x=876, y=709, w=17, h=7
Rectangle 3: x=917, y=670, w=42, h=20
Rectangle 4: x=931, y=692, w=12, h=9
Rectangle 5: x=921, y=655, w=31, h=13
Rectangle 6: x=995, y=543, w=63, h=42
Rectangle 7: x=963, y=518, w=92, h=26
Rectangle 8: x=974, y=547, w=60, h=13
Rectangle 9: x=974, y=507, w=78, h=11
Rectangle 10: x=985, y=493, w=65, h=13
Rectangle 11: x=990, y=484, w=54, h=10
Rectangle 12: x=1051, y=507, w=11, h=36
Rectangle 13: x=1065, y=520, w=7, h=19
Rectangle 14: x=915, y=513, w=45, h=26
Rectangle 15: x=919, y=498, w=37, h=13
Rectangle 16: x=927, y=489, w=21, h=8
Rectangle 17: x=929, y=542, w=18, h=11
Rectangle 18: x=1099, y=554, w=18, h=25
Rectangle 19: x=1069, y=447, w=17, h=42
Rectangle 20: x=1061, y=455, w=15, h=22
Rectangle 21: x=1087, y=456, w=8, h=13
Rectangle 22: x=1075, y=433, w=8, h=13
Rectangle 23: x=1017, y=420, w=28, h=29
Rectangle 24: x=940, y=399, w=35, h=49
